t,S,Price
0.0027397260273972603,166.48,16.64
0.024657534246575342,166.48,16.9
0.043835616438356165,166.48,17.35
0.06301369863013699,166.48,17.75
0.0821917808219178,166.48,18.15
0.10136986301369863,166.48,19.3
0.13972602739726028,166.48,19.39
0.21643835616438356,166.48,20.2
0.31232876712328766,166.48,21.95
0.38904109589041097,166.48,23.05
0.4849315068493151,166.48,23.25
0.5616438356164384,166.48,24.6
0.6384657534246575,166.48,25.46
0.811068493150685,166.48,26.7
1.2328767123287672,166.48,31.0
1.8083287671232875,166.48,33.85
2.23013698630137,166.48,38.5
0.0,167.78,18.75
0.021917808219178082,167.78,18.9
0.0410958904109589,167.78,19.55
0.06027397260273973,167.78,19.05
0.07945205479452055,167.78,21.6
0.09863013698630137,167.78,20.85
0.1178082191780822,167.78,23.09
0.136986301369863,167.78,20.86
0.2136986301369863,167.78,21.54
0.3095890410958904,167.78,22.75
0.3863013698630137,167.78,23.9
0.4821917808219178,167.78,24.55
0.5589041095890411,167.78,26.05
0.6357260273972603,167.78,26.75
0.8083287671232877,167.78,27.8
1.2301369863013698,167.78,33.46
1.8055890410958904,167.78,34.95
2.2273972602739724,167.78,40.2
0.010958904109589041,166.5,16.75
0.030136986301369864,166.5,17.01
0.049315068493150684,166.5,17.35
0.0684931506849315,166.5,18.8
0.08767123287671233,166.5,18.94
0.10684931506849316,166.5,21.0
0.12602739726027398,166.5,19.15
0.20273972602739726,166.5,20.0
0.29863013698630136,166.5,21.2
0.37534246575342467,166.5,22.41
0.4712328767123288,166.5,23.35
0.547945205479452,166.5,24.35
0.6247671232876713,166.5,25.3
0.7973698630136987,166.5,26.49
1.2191780821917808,166.5,31.75
1.7946301369863014,166.5,33.65
2.2164383561643834,166.5,38.0
0.00821917808219178,168.39,18.69
0.0273972602739726,168.39,18.85
0.04657534246575343,168.39,19.2
0.06575342465753424,168.39,20.2
0.08493150684931507,168.39,20.5
0.10410958904109589,168.39,21.56
0.1232876712328767,168.39,20.55
0.2,168.39,21.36
0.2958904109589041,168.39,22.44
0.3726027397260274,168.39,23.55
0.4684931506849315,168.39,24.35
0.5452054794520548,168.39,25.0
0.6220273972602739,168.39,26.3
0.7946301369863015,168.39,27.45
1.2164383561643837,168.39,31.9
1.791890410958904,168.39,34.6
2.213698630136986,168.39,38.5
0.005479452054794521,171.61,21.89
0.024657534246575342,171.61,22.04
0.043835616438356165,171.61,22.25
0.06301369863013699,171.61,22.7
0.0821917808219178,171.61,23.25
0.10136986301369863,171.61,25.25
0.12054794520547946,171.61,23.15
0.19726027397260273,171.61,23.8
0.29315068493150687,171.61,24.8
0.3698630136986301,171.61,25.85
0.4657534246575342,171.61,26.5
0.5424657534246575,171.61,27.1
0.6192876712328766,171.61,28.59
0.7918904109589041,171.61,29.39
1.2136986301369863,171.61,34.15
1.7891506849315066,171.61,38.49
2.210958904109589,171.61,41.0
0.0027397260273972603,172.8,23.01
0.021917808219178082,172.8,23.2
0.0410958904109589,172.8,23.3
0.06027397260273973,172.8,25.61
0.07945205479452055,172.8,24.09
0.09863013698630137,172.8,26.3
0.1178082191780822,172.8,24.21
0.136986301369863,172.8,26.45
0.19452054794520549,172.8,24.66
0.29041095890410956,172.8,25.7
0.36712328767123287,172.8,27.04
0.46301369863013697,172.8,27.24
0.5397260273972603,172.8,28.0
0.6165479452054794,172.8,29.25
0.7891506849315069,172.8,30.4
1.210958904109589,172.8,34.95
1.7864109589041095,172.8,37.31
2.208219178082192,172.8,42.01
0.0,168.38,18.75
0.019178082191780823,168.38,18.8
0.038356164383561646,168.38,19.14
0.057534246575342465,168.38,19.49
0.07671232876712329,168.38,20.06
0.0958904109589041,168.38,22.3
0.11506849315068493,168.38,20.41
0.13424657534246576,168.38,22.85
0.1917808219178082,168.38,21.1
0.2876712328767123,168.38,22.24
0.3643835616438356,168.38,24.35
0.4602739726027397,168.38,24.89
0.536986301369863,168.38,24.8
0.6138082191780821,168.38,26.6
0.7864109589041096,168.38,26.95
1.2082191780821918,168.38,32.35
1.7836712328767121,168.38,34.4
2.2054794520547945,168.38,38.94
0.010958904109589041,170.05,20.15
0.030136986301369864,170.05,20.55
0.049315068493150684,170.05,20.9
0.0684931506849315,170.05,21.25
0.08767123287671233,170.05,23.6
0.10684931506849316,170.05,21.55
0.12602739726027398,170.05,24.0
0.18356164383561643,170.05,22.3
0.27945205479452057,170.05,23.3
0.3561643835616438,170.05,25.3
0.4520547945205479,170.05,25.2
0.5287671232876713,170.05,25.85
0.6055890410958904,170.05,26.65
0.7781917808219179,170.05,28.45
1.2,170.05,32.05
1.7754520547945205,170.05,35.06
2.197260273972603,170.05,40.0
0.00821917808219178,173.25,23.55
0.0273972602739726,173.25,23.7
0.04657534246575343,173.25,23.85
0.06575342465753424,173.25,24.0
0.08493150684931507,173.25,26.0
0.10410958904109589,173.25,24.19
0.1232876712328767,173.25,24.45
0.18082191780821918,173.25,24.7
0.27671232876712326,173.25,25.69
0.35342465753424657,173.25,27.25
0.44931506849315067,173.25,27.3
0.5260273972602739,173.25,28.4
0.6028493150684932,173.25,28.75
0.7754520547945206,173.25,30.3
1.1972602739726028,173.25,33.85
1.7727123287671231,173.25,37.0
2.1945205479452055,173.25,41.5
0.005479452054794521,172.44,22.54
0.024657534246575342,172.44,22.65
0.043835616438356165,172.44,22.81
0.06301369863013699,172.44,23.16
0.0821917808219178,172.44,25.29
0.10136986301369863,172.44,23.35
0.12054794520547946,172.44,23.59
0.1780821917808219,172.44,23.94
0.273972602739726,172.44,24.91
0.3506849315068493,172.44,26.51
0.4465753424657534,172.44,26.65
0.5232876712328767,172.44,27.7
0.6001095890410959,172.44,28.1
0.7727123287671234,172.44,29.65
1.1945205479452055,172.44,33.8
1.769972602739726,172.44,36.86
2.191780821917808,172.44,41.81
0.0027397260273972603,174.14,24.45
0.021917808219178082,174.14,24.56
0.0410958904109589,174.14,24.74
0.06027397260273973,174.14,24.95
0.07945205479452055,174.14,26.74
0.09863013698630137,174.14,25.0
0.1178082191780822,174.14,26.2
0.136986301369863,174.14,27.15
0.17534246575342466,174.14,25.61
0.27123287671232876,174.14,26.35
0.34794520547945207,174.14,27.9
0.4438356164383562,174.14,27.94
0.5205479452054794,174.14,29.31
0.5973698630136987,174.14,29.4
0.7699726027397261,174.14,30.86
1.1917808219178083,174.14,36.01
1.7672328767123286,174.14,37.89
2.1890410958904107,174.14,42.99
0.0,174.73,24.89
0.019178082191780823,174.73,25.05
0.038356164383561646,174.73,25.19
0.057534246575342465,174.73,25.34
0.07671232876712329,174.73,27.0
0.0958904109589041,174.73,25.4
0.11506849315068493,174.73,26.7
0.13424657534246576,174.73,25.7
0.1726027397260274,174.73,25.95
0.2684931506849315,174.73,26.65
0.3452054794520548,174.73,28.39
0.4410958904109589,174.73,28.25
0.5178082191780822,174.73,29.65
0.5946301369863013,174.73,30.25
0.7672328767123289,174.73,31.46
1.189041095890411,174.73,35.35
1.7644931506849315,174.73,38.35
2.186301369863014,174.73,43.5
0.010958904109589041,175.82,26.2
0.030136986301369864,175.82,26.25
0.049315068493150684,175.82,26.59
0.0684931506849315,175.82,28.36
0.08767123287671233,175.82,26.46
0.10684931506849316,175.82,27.6
0.12602739726027398,175.82,27.15
0.1643835616438356,175.82,26.8
0.2602739726027397,175.82,27.5
0.336986301369863,175.82,29.25
0.4328767123287671,175.82,29.75
0.5095890410958904,175.82,30.4
0.5864109589041095,175.82,31.05
0.759013698630137,175.82,32.31
1.180821917808219,175.82,35.0
1.7562739726027397,175.82,39.01
2.1780821917808217,175.82,43.09
0.00821917808219178,178.24,28.6
0.0273972602739726,178.24,28.65
0.04657534246575343,178.24,28.96
0.06575342465753424,178.24,30.9
0.08493150684931507,178.24,28.79
0.10410958904109589,178.24,29.55
0.1232876712328767,178.24,30.5
0.16164383561643836,178.24,29.04
0.25753424657534246,178.24,29.84
0.33424657534246577,178.24,30.7
0.4301369863013699,178.24,31.09
0.5068493150684932,178.24,32.2
0.5836712328767123,178.24,32.6
0.7562739726027398,178.24,33.8
1.178082191780822,178.24,37.09
1.7535342465753423,178.24,40.76
2.175342465753425,178.24,44.5
0.005479452054794521,177.84,28.15
0.024657534246575342,177.84,28.15
0.043835616438356165,177.84,28.55
0.06301369863013699,177.84,30.61
0.0821917808219178,177.84,28.4
0.10136986301369863,177.84,28.85
0.12054794520547946,177.84,30.09
0.1589041095890411,177.84,28.7
0.2547945205479452,177.84,29.25
0.3315068493150685,177.84,30.75
0.4273972602739726,177.84,30.7
0.5041095890410959,177.84,31.8
0.580931506849315,177.84,32.6
0.7535342465753425,177.84,33.5
1.1753424657534246,177.84,37.86
1.7507945205479452,177.84,40.2
2.1726027397260275,177.84,44.76
0.0027397260273972603,172.8,23.19
0.021917808219178082,172.8,23.35
0.0410958904109589,172.8,23.55
0.06027397260273973,172.8,23.79
0.07945205479452055,172.8,23.71
0.09863013698630137,172.8,24.65
0.1178082191780822,172.8,25.35
0.15616438356164383,172.8,24.16
0.25205479452054796,172.8,24.9
0.3287671232876712,172.8,26.0
0.4246575342465753,172.8,26.55
0.5013698630136987,172.8,27.4
0.5781917808219178,172.8,28.09
0.7507945205479453,172.8,29.85
1.1726027397260275,172.8,32.9
1.7480547945205478,172.8,36.55
2.16986301369863,172.8,39.84
0.0,165.72,15.99
0.019178082191780823,165.72,16.59
0.038356164383561646,165.72,16.95
0.057534246575342465,165.72,17.19
0.07671232876712329,165.72,17.3
0.0958904109589041,165.72,18.55
0.11506849315068493,165.72,19.81
0.15342465753424658,165.72,18.21
0.2493150684931507,165.72,19.29
0.32602739726027397,165.72,20.45
0.42191780821917807,165.72,21.25
0.4986301369863014,165.72,22.0
0.5754520547945206,165.72,22.85
0.748054794520548,165.72,25.01
1.16986301369863,165.72,29.05
1.7453150684931507,165.72,31.94
2.1671232876712327,165.72,36.11
0.010958904109589041,165.24,15.45
0.030136986301369864,165.24,16.0
0.049315068493150684,165.24,16.31
0.0684931506849315,165.24,16.35
0.08767123287671233,165.24,16.61
0.10684931506849316,165.24,18.19
0.14520547945205478,165.24,17.2
0.2410958904109589,165.24,18.35
0.3178082191780822,165.24,19.61
0.4136986301369863,165.24,20.35
0.4904109589041096,165.24,21.15
0.5672328767123287,165.24,22.1
0.7398356164383563,165.24,23.39
1.1616438356164382,165.24,28.4
1.7370958904109588,165.24,31.3
2.158904109589041,165.24,35.45
0.00821917808219178,162.94,13.09
0.0273972602739726,162.94,13.9
0.04657534246575343,162.94,14.19
0.06575342465753424,162.94,14.35
0.08493150684931507,162.94,14.6
0.10410958904109589,162.94,15.15
0.14246575342465753,162.94,15.25
0.23835616438356164,162.94,16.55
0.3150684931506849,162.94,17.85
0.410958904109589,162.94,18.75
0.4876712328767123,162.94,19.5
0.5644931506849314,162.94,20.45
0.7370958904109589,162.94,21.91
1.158904109589041,162.94,25.71
1.7343561643835614,162.94,29.61
2.1561643835616437,162.94,34.5
0.005479452054794521,163.65,14.05
0.024657534246575342,163.65,14.49
0.043835616438356165,163.65,16.5
0.06301369863013699,163.65,15.06
0.0821917808219178,163.65,15.69
0.10136986301369863,163.65,16.65
0.13972602739726028,163.65,15.76
0.2356164383561644,163.65,17.05
0.31232876712328766,163.65,18.6
0.40821917808219177,163.65,19.15
0.4849315068493151,163.65,20.2
0.5617534246575342,163.65,21.15
